username,password,firstname,first dogs name
jennifer39@yahoo.com , rS;k|9Y1 , jennifer , Zeus
Margaret37@outlook.com , (6NI9Mlx , Margaret , Rosie
Fatima73@msn.com , :<O6Xr(1 , Fatima , Sadie
Lisa76@rediffmail.com ," 9E""B^paD ", Lisa , Chloe
Elif7@live.com , a[#u9|5} , Elif , Coco
Lisa80@outlook.com , ;Oo&aDTN , Lisa , Stella
Emily17@comcast.net , j+X@amzO , Emily , Leo
Michael85@hotmail.com , nsB_O({- , Michael , Penny
Zane94@comcast.net , Qe5iMhz| , Zane , Chloe
jennifer89@aol.com , \=vg'MNU , jennifer , Ruby
Lisa54@comcast.net , **g|KHUk , Lisa , Gus
jennifer16@outlook.com , Rn}NFy`+ , jennifer , Molly
david41@msn.com , 83=_92tM , david , Maddie
Chenguang6@icloud.com , -6R{SM0[ , Chenguang , Rusty
Jennifer21@msn.com , $zet1@BJ , Jennifer , Maddie
Adira41@live.com , 4)XDe$:v , Adira , Ruby
Emeka62@gmail.com , 1dipAf3: , Emeka , Hazel
Kenneth48@comcast.net , rm~Et52p , Kenneth , Bentley
Dalia65@msn.com , =xiBu$ea , Dalia , Max
Xiomara20@aol.com , r*0z\KIS , Xiomara , Penny
patricia81@outlook.com , ?mX0Ni_2 , patricia , Bella
Elif51@comcast.net , l[e.PEto , Elif , Cody
patricia77@outlook.com , `KvW!M)t , patricia , Charlie
david69@comcast.net , {o`AIHLv , david , Coco
Zane94@hotmail.com , Eg+R['ua , Zane , Milo
Edward96@icloud.com , ux{s/v'i , Edward , Cooper
Duha41@rediffmail.com , =Y$o58c{ , Duha , Cooper
Stephanie34@aol.com , $'Nm&hGx , Stephanie , Bear
Oluchi65@icloud.com , ??]Ct'JS , Oluchi , Oliver
Wafaa56@msn.com , %$lH~:Ua , Wafaa , Harley
Makena6@msn.com , |fqF[++u , Makena , Rocky
Emily17@hotmail.com , kR]~u%c& , Emily , Riley
Ashley33@gmail.com ," :]""k2MFL ", Ashley , Stella
Xiomara53@hotmail.com , kU:+PHZS , Xiomara , Riley
John89@outlook.com , 4/D%O;S( , John , Buddy
jennifer16@aol.com , Grk.W~s/ , jennifer , Riley
Joseph72@gmail.com , X\gBR4Pi , Joseph , Penny
Makena53@outlook.com , /;Wu<AL1 , Makena , Harper
charles60@msn.com , dvjh'`GR , charles , Rosie
Andrew47@comcast.net , ^04)MLa] , Andrew , Molly
Emily77@aol.com , x1uR5K?J , Emily , Luna
Wafaa69@outlook.com , zi|G4]dp , Wafaa , Rocco
Duha61@yahoo.com , {?eCADfD , Duha , Penny
Barbara16@hotmail.com , Xt*]U.mz , Barbara , Lucy
Susan86@yahoo.com , @:z:`~z0 , Susan , Bear
Thomas98@gmail.com , #EnqyM;C , Thomas , Rosie
sarah11@comcast.net , \]@fR*Nh , sarah , Chloe
Xiaoli74@msn.com , z2_dStaL , Xiaoli , Luna
Kaya22@gmail.com , f(B8S-Bi , Kaya , Zoe
William65@rediffmail.com , &AIuOTkt , William , Bella
